Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b3,0-0,0,---,4(1-2) CCBC,O,PIT,Trevor Williams,Jeff Samardzija,3%,47%,Strikeout Looking
b3,0-0,1,---,9(3-2) CBFFBBFFC,O,PIT,Adam Frazier,Jeff Samardzija,2%,49%,Strikeout Looking
b3,0-0,2,---,2(0-1) SX,,PIT,Jose Osuna,Jeff Samardzija,-3%,46%,Triple to RF (Fly Ball to Deep RF Line)
b3,0-0,2,--3,2(0-1) CX,O,PIT,John Jaso,Jeff Samardzija,4%,50%,Lineout: RF (Deep CF-RF)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 0.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 0.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 0.
Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4,Top of the 4th Giants Batting Tied 0-0 Pirates' Trevor Williams facing 2-3-4
t4,0-0,0,---,3(1-1) CBX,O,SFG,Joe Panik,Trevor Williams,-3%,47%,Flyball: LF (LF-CF)
t4,0-0,1,---,1(0-0) X,O,SFG,Hunter Pence,Trevor Williams,-2%,45%,Groundout: 3B-1B (SS-3B Hole)
t4,0-0,2,---,6(3-2) CBBBFX,O,SFG,Buster Posey,Trevor Williams,-1%,44%,Groundout: 1B-P (2B-1B)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 0.
Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6,Bottom of the 4th Pirates Batting Tied 0-0 Giants' Jeff Samardzija facing 4-5-6
b4,0-0,0,---,3(0-2) CTX,O,PIT,Josh Bell,Jeff Samardzija,3%,47%,Groundout: 2B-1B (Deep 2B-1B)
b4,0-0,1,---,2(1-0) BX,,PIT,Gregory Polanco,Jeff Samardzija,-5%,42%,Double to RF (Ground Ball)
b4,0-0,1,-2-,5(2-2) FBBFX,RR,PIT,Jordy Mercer,Jeff Samardzija,-19%,23%,Home Run (Fly Ball to Deep LF); Polanco Scores
b4,2-0,1,---,3(1-1) CBX,O,PIT,Max Moroff,Jeff Samardzija,1%,24%,Flyball: RF (Deep CF-RF)
b4,2-0,2,---,3(2-0) BBX,O,PIT,Chris Stewart,Jeff Samardzija,1%,25%,Lineout: CF (Deep CF)
,,,,,,,,,2 runs 2 hits 0 errors 0 LOB. Giants 0 Pirates 2.,2 runs 2 hits 0 errors 0 LOB. Giants 0 Pirates 2.,2 runs 2 hits 0 errors 0 LOB. Giants 0 Pirates 2.
Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7,Top of the 5th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 5-6-7
t5,0-2,0,---,2(0-1) CX,O,SFG,Brandon Belt,Trevor Williams,-3%,22%,Groundout: SS-1B (Deep 2B)
t5,0-2,1,---,4(2-1) BBCX,O,SFG,Brandon Crawford,Trevor Williams,-2%,20%,Popfly: 2B (Deep 1B)
t5,0-2,2,---,7(3-2) CFBBFBX,,SFG,Jae-gyun Hwang,Trevor Williams,2%,22%,Single to RF (Line Drive to Short CF-RF)
t5,0-2,2,1--,4(0-2) CSFT,O,SFG,Austin Slater,Trevor Williams,-3%,19%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 2.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 2.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 2.
Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2,Bottom of the 5th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 9-1-2
b5,2-0,0,---,3(0-2) CFX,O,PIT,Trevor Williams,Jeff Samardzija,1%,20%,Groundout: 1B unassisted
b5,2-0,1,---,4(1-2) CBFS,O,PIT,Adam Frazier,Jeff Samardzija,1%,21%,Strikeout Swinging
b5,2-0,2,---,3(1-1) CBX,O,PIT,Jose Osuna,Jeff Samardzija,1%,22%,Flyball: CF (Deep CF-RF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 2.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 2.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 2.
Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2,Top of the 6th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 9-1-2
t6,0-2,0,---,5(1-2) BFSF^X,O,SFG,Jeff Samardzija,Trevor Williams,-3%,19%,Groundout: 3B-1B (SS-3B Hole)
,,,,,,,,,Challenged by PIT manager (Clint Hurdle): Original call (E5/TH/G) overturned as shown.,Challenged by PIT manager (Clint Hurdle): Original call (E5/TH/G) overturned as shown.,Challenged by PIT manager (Clint Hurdle): Original call (E5/TH/G) overturned as shown.
t6,0-2,1,---,2(1-0) BX,O,SFG,Denard Span,Trevor Williams,-2%,17%,Lineout: RF (Deep RF)
t6,0-2,2,---,2(1-0) BX,O,SFG,Joe Panik,Trevor Williams,-1%,15%,Flyball: LF (Deep LF Line)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 2.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 2.,0 runs 0 hits 0 errors 0 LOB. Giants 0 Pirates 2.
