Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3,Top of the 3rd Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 1-2-3
t3,2-2,0,---,3(1-1) CBX,O,SFG,Gregor Blanco,Jeremy Guthrie,-3%,48%,Groundout: P-1B
t3,2-2,1,---,5(2-2) CFBBC,O,SFG,Joe Panik,Jeremy Guthrie,-2%,46%,Strikeout Looking
t3,2-2,2,---,3(0-2) CFS,O,SFG,Buster Posey,Jeremy Guthrie,-1%,45%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 2 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 2 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 2 Royals 2.
Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5,Bottom of the 3rd Royals Batting Tied 2-2 Giants' Jeremy Affeldt facing 3-4-5
b3,2-2,0,---,8(2-2) CBSFFFBX,,KCR,Lorenzo Cain,Jeremy Affeldt,-4%,41%,Single to RF (Line Drive)
b3,2-2,0,1--,2(0-1) F11X,OO,KCR,Eric Hosmer,Jeremy Affeldt,8%,49%,Ground Ball Double Play: 2B-SS-1B
b3,2-2,2,---,9(3-2) CBBFFBFFX,O,KCR,Billy Butler,Jeremy Affeldt,1%,50%,Groundout: SS-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Giants 2 Royals 2.,0 runs 1 hit 0 errors 0 LOB. Giants 2 Royals 2.,0 runs 1 hit 0 errors 0 LOB. Giants 2 Royals 2.
Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6,Top of the 4th Giants Batting Tied 2-2 Royals' Jeremy Guthrie facing 4-5-6
t4,2-2,0,---,4(2-1) CBBX,,SFG,Pablo Sandoval,Jeremy Guthrie,4%,54%,Single to 2B (Ground Ball)
t4,2-2,0,1--,3(1-1) CBX,,SFG,Hunter Pence,Jeremy Guthrie,7%,61%,Single to CF (Line Drive); Sandoval to 2B
t4,2-2,0,12-,3(1-1) CBX,O,SFG,Brandon Belt,Jeremy Guthrie,-3%,58%,Flyball: LF; Sandoval to 3B
,,,,,,,,,Kelvin Herrera replaces Jeremy Guthrie pitching,Kelvin Herrera replaces Jeremy Guthrie pitching,Kelvin Herrera replaces Jeremy Guthrie pitching
